episode,method,m,score,is_IBR,is_MBR,steps
0,initial,16,240.0,True,False,0
0,greedy,11,290.0,True,False,5
0,random,14,260.0,True,False,60
1,initial,1,30.0,False,False,0
1,greedy,11,290.0,True,False,12
1,random,11,270.0,False,False,60
2,initial,2,60.0,False,False,0
2,greedy,11,290.0,True,False,11
2,random,14,260.0,True,False,60
3,initial,1,30.0,False,False,0
3,greedy,11,290.0,True,False,12
3,random,10,280.0,False,False,60
4,initial,1,30.0,False,False,0
4,greedy,11,290.0,True,False,12
4,random,10,260.0,False,False,60
5,initial,14,240.0,False,False,0
5,greedy,10,300.0,True,True,6
5,random,15,250.0,True,False,60
6,initial,16,240.0,True,False,0
6,greedy,10,300.0,True,True,6
6,random,16,240.0,True,False,60
7,initial,20,200.0,True,False,0
7,greedy,10,300.0,True,True,10
7,random,16,240.0,True,False,60
8,initial,6,180.0,False,False,0
8,greedy,10,300.0,True,True,6
8,random,12,260.0,False,False,60
9,initial,22,180.0,True,False,0
9,greedy,11,290.0,True,False,11
9,random,22,180.0,True,False,60
10,initial,2,20.0,False,False,0
10,greedy,12,280.0,True,False,14
10,random,11,270.0,False,False,60
11,initial,26,140.0,True,False,0
11,greedy,10,300.0,True,True,16
11,random,24,160.0,True,False,60
