episode,method,m,score,is_IBR,is_MBR,steps
0,initial,2,20.0,False,False,0
0,greedy,5,50.0,True,True,3
0,random,5,50.0,True,True,215
0,learned,5,50.0,True,True,76
1,initial,9,10.0,True,False,0
1,greedy,5,50.0,True,True,4
1,random,5,50.0,True,True,26
1,learned,5,50.0,True,True,8
2,initial,3,30.0,False,False,0
2,greedy,5,50.0,True,True,2
2,random,5,50.0,True,True,91
2,learned,5,50.0,True,True,172
3,initial,12,-20.0,True,False,0
3,greedy,5,50.0,True,True,7
3,random,5,50.0,True,True,72
3,learned,5,50.0,True,True,38
4,initial,4,40.0,False,False,0
4,greedy,5,50.0,True,True,1
4,random,5,50.0,True,True,64
4,learned,5,50.0,True,True,143
5,initial,10,0.0,True,False,0
5,greedy,5,50.0,True,True,5
5,random,5,50.0,True,True,37
5,learned,5,50.0,True,True,40
6,initial,2,20.0,False,False,0
6,greedy,5,50.0,True,True,3
6,random,5,50.0,True,True,277
6,learned,5,50.0,True,True,52
7,initial,6,40.0,True,False,0
7,greedy,5,50.0,True,True,1
7,random,5,50.0,True,True,2
7,learned,5,50.0,True,True,2
8,initial,12,-20.0,True,False,0
8,greedy,5,50.0,True,True,7
8,random,5,50.0,True,True,86
8,learned,5,50.0,True,True,66
9,initial,12,-20.0,True,False,0
9,greedy,5,50.0,True,True,7
9,random,5,50.0,True,True,162
9,learned,5,50.0,True,True,26
10,initial,3,30.0,False,False,0
10,greedy,5,50.0,True,True,2
10,random,5,50.0,True,True,6
10,learned,5,50.0,True,True,16
11,initial,11,-10.0,True,False,0
11,greedy,5,50.0,True,True,6
11,random,5,50.0,True,True,89
11,learned,5,50.0,True,True,31
12,initial,8,20.0,True,False,0
12,greedy,5,50.0,True,True,3
12,random,5,50.0,True,True,96
12,learned,5,50.0,True,True,6
13,initial,0,0.0,False,False,0
13,greedy,5,50.0,True,True,5
13,random,5,50.0,True,True,147
13,learned,5,50.0,True,True,183
14,initial,1,10.0,False,False,0
14,greedy,5,50.0,True,True,4
14,random,5,50.0,True,True,176
14,learned,5,50.0,True,True,83
15,initial,1,10.0,False,False,0
15,greedy,5,50.0,True,True,4
15,random,5,50.0,True,True,366
15,learned,5,50.0,True,True,87
16,initial,12,-20.0,True,False,0
16,greedy,5,50.0,True,True,7
16,random,5,50.0,True,True,186
16,learned,5,50.0,True,True,38
17,initial,12,-20.0,True,False,0
17,greedy,5,50.0,True,True,7
17,random,5,50.0,True,True,132
17,learned,5,50.0,True,True,18
18,initial,2,20.0,False,False,0
18,greedy,5,50.0,True,True,3
18,random,5,50.0,True,True,244
18,learned,5,50.0,True,True,165
19,initial,5,30.0,False,False,0
19,greedy,5,50.0,True,True,2
19,random,5,50.0,True,True,102
19,learned,5,50.0,True,True,176
