episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
0,initial,37,30.0,True,False,0.00013766969898312497,0,0
0,greedy,10,300.0,True,True,3.654257543039137e-09,27,27
0,random,27,130.0,True,False,4.6430142001577985e-05,37,96
0,learned,13,270.0,True,False,1.4028960330255927e-05,50,100
1,initial,16,240.0,True,False,1.8367748579515085e-05,0,0
1,greedy,11,290.0,True,False,7.691428373139083e-08,5,5
1,random,15,250.0,True,False,9.860847192148144e-06,27,12
1,learned,10,300.0,True,True,1.1169766812436245e-07,48,60
2,initial,1,30.0,False,False,0.0,0,0
2,greedy,11,290.0,True,False,1.1389078017675725e-08,12,12
2,random,11,290.0,True,False,9.211731738442507e-07,37,27
2,learned,11,290.0,True,False,3.090031813694855e-07,46,50
3,initial,2,60.0,False,False,0.0,0,0
3,greedy,11,290.0,True,False,4.761177265361705e-06,11,11
3,random,11,250.0,False,False,0.0,36,41
3,learned,10,300.0,True,True,1.075229689442998e-07,42,27
4,initial,1,30.0,False,False,0.0,0,0
4,greedy,11,290.0,True,False,3.1728040314013575e-07,12,12
4,random,10,280.0,False,False,0.0,36,31
4,learned,11,290.0,True,False,3.483453164555393e-08,47,20
5,initial,1,30.0,False,False,0.0,0,0
5,greedy,11,290.0,True,False,3.86765213570133e-06,12,12
5,random,14,260.0,True,False,1.5451786669940384e-06,38,51
5,learned,11,290.0,True,False,0.0,50,52
6,initial,14,240.0,False,False,0.0,0,0
6,greedy,10,300.0,True,True,1.6121231891782506e-06,6,6
6,random,14,240.0,False,False,0.0,38,0
6,learned,10,300.0,True,True,9.475401063114104e-07,46,42
7,initial,16,240.0,True,False,2.1999142386144373e-05,0,0
7,greedy,10,300.0,True,True,5.609697497046977e-08,6,6
7,random,14,260.0,True,False,4.048920659601031e-07,35,6
7,learned,10,300.0,True,True,3.61046348127251e-08,47,77
8,initial,20,200.0,True,False,6.6390487886975924e-06,0,0
8,greedy,10,300.0,True,True,4.4912845655924686e-08,10,10
8,random,18,220.0,True,False,3.679480277932906e-06,40,7
8,learned,14,260.0,True,False,2.1960326495286167e-06,50,100
9,initial,6,180.0,False,False,0.0,0,0
9,greedy,10,300.0,True,True,1.6636067145075756e-06,6,6
9,random,11,270.0,False,False,0.0,36,16
9,learned,10,300.0,True,True,2.6872019150992633e-09,48,41
10,initial,22,180.0,True,False,5.307786908520348e-06,0,0
10,greedy,11,290.0,True,False,4.496145281533153e-08,11,11
10,random,18,220.0,True,False,5.027983795667845e-06,38,45
10,learned,11,290.0,True,False,1.4640250803536335e-06,50,98
11,initial,2,20.0,False,False,0.0,0,0
11,greedy,12,280.0,True,False,1.2293452857515385e-06,14,14
11,random,16,240.0,True,False,5.240860155226662e-06,33,43
11,learned,11,290.0,True,False,3.0393718128673706e-07,50,26
12,initial,26,140.0,True,False,8.229542216789745e-05,0,0
12,greedy,10,300.0,True,True,3.9148994520078263e-07,16,16
12,random,23,170.0,True,False,3.613806977400508e-05,35,41
12,learned,14,260.0,True,False,1.0662478284586756e-05,50,96
13,initial,2,60.0,False,False,0.0,0,0
13,greedy,11,290.0,True,False,5.902964010987965e-06,11,11
13,random,12,240.0,False,False,0.0,28,55
13,learned,10,300.0,True,True,6.377316693253395e-08,46,76
14,initial,15,250.0,True,False,2.180515503813117e-06,0,0
14,greedy,10,300.0,True,True,1.1761188493059149e-07,5,5
14,random,15,250.0,True,False,2.180515503813117e-06,39,0
14,learned,11,290.0,True,False,1.7880864661610016e-06,48,32
15,initial,1,30.0,False,False,0.0,0,0
15,greedy,11,290.0,True,False,2.6875088458887628e-06,12,12
15,random,14,260.0,True,False,6.041275075139281e-06,34,65
15,learned,11,290.0,True,False,8.629889317490443e-07,44,24
16,initial,6,140.0,False,False,0.0,0,0
16,greedy,11,290.0,True,False,3.898687625743539e-07,9,9
16,random,12,280.0,True,False,6.852652412566836e-07,41,19
16,learned,10,300.0,True,True,5.775052971478731e-07,45,23
17,initial,13,270.0,True,False,1.7423931901201828e-08,0,0
17,greedy,10,300.0,True,True,1.5901457550638025e-08,3,3
17,random,13,270.0,True,False,1.7423931901201828e-08,40,0
17,learned,10,300.0,True,True,1.491669237507314e-08,49,34
18,initial,9,210.0,False,False,0.0,0,0
18,greedy,11,290.0,True,False,2.2240500932531755e-08,4,4
18,random,11,270.0,False,False,0.0,33,8
18,learned,10,300.0,True,True,6.857748125667839e-07,48,10
19,initial,44,-40.0,True,False,0.0001840639896413547,0,0
19,greedy,11,290.0,True,False,3.2010864887509435e-07,33,33
19,random,32,80.0,True,False,0.000105730782048288,38,100
19,learned,20,200.0,True,False,2.8351651138982197e-05,50,100
