episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
0,initial,9,10.0,True,False,2.3467190181701124e-05,0,0
0,greedy,5,50.0,True,True,1.6303568270862857e-07,4,4
0,random,5,50.0,True,True,1.630356827086959e-07,96,16
0,learned,6,40.0,True,False,1.9776532777577733e-05,3,3
0,optimal,5,50.0,True,True,1.5607285236521507e-05,0,0
1,initial,6,40.0,True,False,1.1863594427106538e-05,0,0
1,greedy,5,50.0,True,True,9.016019058337507e-06,1,1
1,random,5,50.0,True,True,2.744244769532491e-05,99,22
1,learned,5,50.0,True,True,9.016019058337507e-06,2,1
1,optimal,5,50.0,True,True,2.8027454884766178e-05,0,0
2,initial,1,10.0,False,False,0.0,0,0
2,greedy,5,50.0,True,True,6.128122550406174e-07,4,4
2,random,5,50.0,True,True,6.355081139200699e-06,92,114
2,learned,5,50.0,True,True,8.529959541827407e-06,4,4
2,optimal,5,50.0,True,True,1.4417066225059393e-05,0,0
3,initial,6,40.0,True,False,1.6148094796831086e-05,0,0
3,greedy,5,50.0,True,True,1.570538025338466e-05,1,1
3,random,5,50.0,True,True,1.570538025338466e-05,88,3
3,learned,5,50.0,True,True,1.570538025338466e-05,2,1
3,optimal,5,50.0,True,True,1.570538025338466e-05,0,0
4,initial,7,30.0,True,False,4.250815737931165e-05,0,0
4,greedy,5,50.0,True,True,4.1139185664292575e-05,2,2
4,random,5,50.0,True,True,2.247951790901968e-05,99,21
4,learned,6,40.0,True,False,4.133609608115731e-05,1,1
4,optimal,5,50.0,True,True,4.1139185664292595e-05,0,0
5,initial,5,10.0,False,False,0.0,0,0
5,greedy,5,50.0,True,True,1.7040543250845936e-05,4,4
5,random,5,50.0,True,True,1.676545349693337e-05,96,5
5,learned,5,30.0,False,False,0.0,2,2
5,optimal,5,50.0,True,True,4.8908900193095914e-05,0,0
6,initial,9,10.0,True,False,3.946836259134286e-05,0,0
6,greedy,5,50.0,True,True,1.6927424046149772e-05,4,4
6,random,5,50.0,True,True,2.466620401216641e-05,93,178
6,learned,6,40.0,True,False,3.78466831623851e-05,3,3
6,optimal,5,50.0,True,True,2.4940329939077868e-05,0,0
7,initial,1,10.0,False,False,0.0,0,0
7,greedy,5,50.0,True,True,6.69150209758065e-08,4,4
7,random,5,50.0,True,True,8.1030615749338e-08,90,29
7,learned,5,50.0,True,True,3.67993600960732e-08,4,4
7,optimal,5,50.0,True,True,1.0145774286513677e-07,0,0
8,initial,7,30.0,True,False,3.221294922228192e-05,0,0
8,greedy,5,50.0,True,True,2.847648994066366e-05,2,2
8,random,6,40.0,True,False,2.8693893582046564e-05,90,2
8,learned,5,50.0,True,True,2.847648994066366e-05,3,2
8,optimal,5,50.0,True,True,2.8476489940663675e-05,0,0
9,initial,6,40.0,True,False,5.054940349962327e-07,0,0
9,greedy,5,50.0,True,True,3.4783099355623363e-07,1,1
9,random,5,50.0,True,True,3.478309935562344e-07,102,25
9,learned,5,50.0,True,True,3.4783099355623363e-07,2,1
9,optimal,5,50.0,True,True,2.9550668414665763e-05,0,0
10,initial,10,0.0,True,False,5.454544326478035e-05,0,0
10,greedy,5,50.0,True,True,3.7592787164063687e-06,5,5
10,random,5,50.0,True,True,3.759278716406356e-06,103,78
10,learned,6,40.0,True,False,3.1649594855881785e-05,4,4
10,optimal,5,50.0,True,True,2.685740251602082e-05,0,0
11,initial,6,40.0,True,False,9.455689181668221e-06,0,0
11,greedy,5,50.0,True,True,6.248706573828884e-06,1,1
11,random,5,50.0,True,True,6.248706573828884e-06,96,4
11,learned,5,50.0,True,True,6.248706573828884e-06,2,1
11,optimal,5,50.0,True,True,5.9620704092857594e-05,0,0
12,initial,4,40.0,False,False,0.0,0,0
12,greedy,5,50.0,True,True,3.344858178338239e-05,1,1
12,random,5,50.0,True,True,1.4088943403314044e-06,98,2
12,learned,5,50.0,True,True,1.4088943403313902e-06,2,1
12,optimal,5,50.0,True,True,4.404512841385836e-05,0,0
13,initial,6,20.0,False,False,0.0,0,0
13,greedy,5,50.0,True,True,2.4998655484190303e-05,3,3
13,random,5,50.0,True,True,9.296314578536667e-06,94,128
13,learned,5,50.0,True,True,1.2266779476800472e-05,4,3
13,optimal,5,50.0,True,True,2.499865548419032e-05,0,0
14,initial,8,20.0,True,False,2.0909244994354413e-05,0,0
14,greedy,5,50.0,True,True,1.1911873847007773e-05,3,3
14,random,5,50.0,True,True,1.1572725242104837e-05,95,27
14,learned,6,40.0,True,False,1.6234062645996654e-05,2,2
14,optimal,5,50.0,True,True,1.6193302443724784e-05,0,0
15,initial,3,30.0,False,False,0.0,0,0
15,greedy,5,50.0,True,True,0.00011262008936821493,2,2
