episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
15,random,5,50.0,True,True,0.00011855582423936649,97,6
15,learned,5,50.0,True,True,0.00011262008936821493,3,2
15,optimal,5,50.0,True,True,0.0001185558242393666,0,0
16,initial,3,30.0,False,False,0.0,0,0
16,greedy,5,50.0,True,True,2.61606963534381e-05,2,2
16,random,5,50.0,True,True,2.2809720606156422e-05,77,34
16,learned,5,50.0,True,True,2.4653836538075226e-05,3,2
16,optimal,5,50.0,True,True,5.1646126856503336e-05,0,0
17,initial,4,40.0,False,False,0.0,0,0
17,greedy,5,50.0,True,True,7.995567265763079e-06,1,1
17,random,5,50.0,True,True,2.6986517568535043e-05,105,55
17,learned,5,50.0,True,True,7.995567265763079e-06,1,1
17,optimal,5,50.0,True,True,4.418241484496053e-05,0,0
18,initial,4,40.0,False,False,0.0,0,0
18,greedy,5,50.0,True,True,2.296288670384505e-06,1,1
18,random,5,50.0,True,True,2.6197220635629555e-05,92,3
18,learned,5,50.0,True,True,2.6197220635629555e-05,2,1
18,optimal,5,50.0,True,True,2.6197220635629555e-05,0,0
19,initial,4,20.0,False,False,0.0,0,0
19,greedy,5,50.0,True,True,1.2752634371180407e-05,3,3
19,random,5,50.0,True,True,1.2752634371180395e-05,100,37
19,learned,5,50.0,True,True,1.2752634371180395e-05,3,3
19,optimal,5,50.0,True,True,1.3227918372038743e-05,0,0
