episode,method,step,score,edges,rank,rank_K,is_IBR,is_MBR,min_eig
0,random,111,10.0,5,3,5,False,False,0.0
0,random,112,20.0,6,4,5,False,False,0.0
0,random,113,20.0,6,4,5,False,False,0.0
0,random,114,10.0,7,4,5,False,False,0.0
0,random,115,20.0,6,4,5,False,False,0.0
0,random,116,20.0,6,4,5,False,False,0.0
0,random,117,10.0,5,3,5,False,False,0.0
0,random,118,20.0,6,4,5,False,False,0.0
0,random,119,20.0,6,4,5,False,False,0.0
0,random,120,20.0,6,4,5,False,False,0.0
0,random,121,20.0,6,4,5,False,False,0.0
0,random,122,10.0,7,4,5,False,False,0.0
0,random,123,10.0,7,4,5,False,False,0.0
0,random,124,20.0,8,5,5,True,False,3.4692226091970863e-06
0,random,125,30.0,7,5,5,True,False,3.4132908133342545e-06
0,random,126,20.0,8,5,5,True,False,2.3588806789706686e-05
0,random,127,30.0,7,5,5,True,False,2.303357896988317e-07
0,random,128,20.0,6,4,5,False,False,0.0
0,random,129,30.0,5,4,5,False,False,0.0
0,random,130,20.0,6,4,5,False,False,0.0
0,random,131,20.0,6,4,5,False,False,0.0
0,random,132,30.0,5,4,5,False,False,0.0
0,random,133,30.0,5,4,5,False,False,0.0
0,random,134,20.0,6,4,5,False,False,0.0
0,random,135,30.0,5,4,5,False,False,0.0
0,random,136,30.0,5,4,5,False,False,0.0
0,random,137,30.0,5,4,5,False,False,0.0
0,random,138,40.0,6,5,5,True,False,1.9210412269893766e-07
0,random,139,40.0,6,5,5,True,False,1.9210412269893766e-07
0,random,140,30.0,7,5,5,True,False,2.039281321453053e-07
0,random,141,30.0,7,5,5,True,False,2.039281321453053e-07
0,random,142,30.0,7,5,5,True,False,2.039281321453053e-07
0,random,143,40.0,6,5,5,True,False,1.7144608394816756e-07
0,random,144,40.0,6,5,5,True,False,1.7144608394816756e-07
0,random,145,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,146,20.0,8,5,5,True,False,2.3410050513059193e-07
0,random,147,20.0,8,5,5,True,False,2.3410050513059193e-07
0,random,148,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,149,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,150,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,151,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,152,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,153,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,154,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,155,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,156,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,157,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,158,30.0,7,5,5,True,False,2.3175812220445826e-07
0,random,159,20.0,8,5,5,True,False,2.6761264974978723e-05
0,random,160,10.0,9,5,5,True,False,2.7062383819209027e-05
0,random,161,20.0,8,5,5,True,False,2.6761264974978716e-05
0,random,162,20.0,8,5,5,True,False,2.6761264974978716e-05
0,random,163,20.0,8,5,5,True,False,2.6761264974978716e-05
0,random,164,30.0,7,5,5,True,False,2.3175812220447632e-07
0,random,165,30.0,7,5,5,True,False,2.3175812220447632e-07
0,random,166,20.0,6,4,5,False,False,0.0
0,random,167,20.0,6,4,5,False,False,0.0
0,random,168,20.0,6,4,5,False,False,0.0
0,random,169,30.0,7,5,5,True,False,2.3175812220447632e-07
0,random,170,30.0,7,5,5,True,False,2.3175812220447632e-07
0,random,171,20.0,8,5,5,True,False,2.953644327790785e-07
0,random,172,20.0,8,5,5,True,False,2.953644327790785e-07
0,random,173,20.0,8,5,5,True,False,2.953644327790785e-07
0,random,174,30.0,7,5,5,True,False,2.0392813214531073e-07
0,random,175,20.0,6,4,5,False,False,0.0
0,random,176,20.0,6,4,5,False,False,0.0
0,random,177,20.0,6,4,5,False,False,0.0
0,random,178,20.0,6,4,5,False,False,0.0
0,random,179,30.0,7,5,5,True,False,8.70739283399461e-06
0,random,180,30.0,7,5,5,True,False,8.70739283399461e-06
0,random,181,30.0,7,5,5,True,False,8.70739283399461e-06
0,random,182,30.0,7,5,5,True,False,8.70739283399461e-06
0,random,183,40.0,6,5,5,True,False,8.041741786034147e-06
0,random,184,40.0,6,5,5,True,False,8.041741786034147e-06
0,random,185,50.0,5,5,5,True,True,6.695472997172625e-06
0,random,186,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,187,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,188,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,189,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,190,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,191,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,192,40.0,6,5,5,True,False,6.701654414649196e-06
0,random,193,30.0,7,5,5,True,False,8.056462314618317e-06
0,random,194,30.0,7,5,5,True,False,8.056462314618317e-06
0,random,195,40.0,6,5,5,True,False,8.041741786034147e-06
0,random,196,40.0,6,5,5,True,False,8.041741786034147e-06
0,random,197,40.0,6,5,5,True,False,8.041741786034147e-06
0,random,198,30.0,5,4,5,False,False,0.0
0,random,199,30.0,5,4,5,False,False,0.0
0,random,200,30.0,5,4,5,False,False,0.0
0,learned,0,10.0,9,5,5,True,False,2.3467190181701124e-05
0,learned,1,20.0,8,5,5,True,False,2.0695123895914345e-05
0,learned,2,30.0,7,5,5,True,False,1.993656466292272e-05
0,learned,3,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,4,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,5,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,6,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,7,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,8,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,9,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,10,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,11,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,12,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,13,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,14,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,15,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,16,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,17,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,18,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,19,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,20,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,21,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,22,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,23,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,24,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,25,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,26,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,27,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,28,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,29,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,30,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,31,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,32,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,33,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,34,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,35,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,36,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,37,40.0,6,5,5,True,False,1.9776532777577733e-05
0,learned,38,40.0,6,5,5,True,False,1.9776532777577733e-05
