episode,method,step,score,edges,rank,rank_K,is_IBR,is_MBR,min_eig
0,initial,0,-620.0,150,44,44,True,False,0.00018924940526312889
0,random,0,-620.0,150,44,44,True,False,0.00018924940526312889
0,random,1,-620.0,150,44,44,True,False,0.00018924940526312889
0,random,2,-630.0,151,44,44,True,False,0.00018930751755156665
0,random,3,-630.0,151,44,44,True,False,0.00018930751755156665
0,random,4,-620.0,150,44,44,True,False,0.00018851995692694277
0,random,5,-620.0,150,44,44,True,False,0.00018851995692694277
0,random,6,-610.0,149,44,44,True,False,0.0001835325243734692
0,random,7,-610.0,149,44,44,True,False,0.0001835325243734692
0,random,8,-600.0,148,44,44,True,False,0.00018071172926954965
0,random,9,-600.0,148,44,44,True,False,0.00018071172926954965
0,random,10,-610.0,149,44,44,True,False,0.00018090941227593072
0,random,11,-610.0,149,44,44,True,False,0.00018090941227593072
0,random,12,-600.0,148,44,44,True,False,0.00018031539023550904
0,random,13,-600.0,148,44,44,True,False,0.00018031539023550904
0,random,14,-590.0,147,44,44,True,False,0.00017975054570152342
0,random,15,-590.0,147,44,44,True,False,0.00017975054570152342
0,random,16,-590.0,147,44,44,True,False,0.00017975054570152342
0,random,17,-580.0,146,44,44,True,False,0.00017931888826270388
0,random,18,-580.0,146,44,44,True,False,0.00017931888826270388
0,random,19,-580.0,146,44,44,True,False,0.00017931888826270388
0,random,20,-580.0,146,44,44,True,False,0.00017931888826270388
0,random,21,-570.0,145,44,44,True,False,0.00017916176287548685
0,random,22,-570.0,145,44,44,True,False,0.00017916176287548685
0,random,23,-560.0,144,44,44,True,False,0.0001704130559452287
0,random,24,-560.0,144,44,44,True,False,0.0001704130559452287
0,random,25,-570.0,145,44,44,True,False,0.00017215016406675572
0,random,26,-570.0,145,44,44,True,False,0.00017215016406675572
0,random,27,-580.0,146,44,44,True,False,0.00017243475581493593
0,random,28,-580.0,146,44,44,True,False,0.00017243475581493593
0,random,29,-570.0,145,44,44,True,False,0.0001709643409788742
0,random,30,-570.0,145,44,44,True,False,0.0001709643409788742
0,random,31,-580.0,146,44,44,True,False,0.00017178503656302836
0,random,32,-580.0,146,44,44,True,False,0.00017178503656302836
0,random,33,-570.0,145,44,44,True,False,0.00017176618909514165
0,random,34,-570.0,145,44,44,True,False,0.00017176618909514165
0,random,35,-580.0,146,44,44,True,False,0.0001839701262315658
0,random,36,-580.0,146,44,44,True,False,0.0001839701262315658
0,random,37,-590.0,147,44,44,True,False,0.00018397022082841644
0,random,38,-590.0,147,44,44,True,False,0.00018397022082841644
0,random,39,-580.0,146,44,44,True,False,0.00018360378578720108
0,random,40,-580.0,146,44,44,True,False,0.00018360378578720108
0,random,41,-590.0,147,44,44,True,False,0.0001962392980431099
0,random,42,-590.0,147,44,44,True,False,0.0001962392980431099
0,random,43,-590.0,147,44,44,True,False,0.0001962392980431099
0,random,44,-590.0,147,44,44,True,False,0.0001962392980431099
0,random,45,-580.0,146,44,44,True,False,0.0001930400306362365
0,random,46,-580.0,146,44,44,True,False,0.0001930400306362365
0,random,47,-570.0,145,44,44,True,False,0.00019221298525311443
0,random,48,-570.0,145,44,44,True,False,0.00019221298525311443
0,random,49,-560.0,144,44,44,True,False,0.00019207484851954153
0,random,50,-560.0,144,44,44,True,False,0.00019207484851954153
0,random,51,-570.0,145,44,44,True,False,0.0001924680700473703
0,random,52,-570.0,145,44,44,True,False,0.0001924680700473703
0,random,53,-560.0,144,44,44,True,False,0.00018016404008706671
0,random,54,-560.0,144,44,44,True,False,0.00018016404008706671
0,random,55,-560.0,144,44,44,True,False,0.00018016404008706671
0,random,56,-560.0,144,44,44,True,False,0.00018016404008706671
0,random,57,-560.0,144,44,44,True,False,0.00018016404008706671
0,random,58,-550.0,143,44,44,True,False,0.00017599964951289698
0,random,59,-550.0,143,44,44,True,False,0.00017599964951289698
0,random,60,-550.0,143,44,44,True,False,0.00017599964951289698
0,random,61,-560.0,144,44,44,True,False,0.00017611172048492452
0,random,62,-560.0,144,44,44,True,False,0.00017611172048492452
0,random,63,-560.0,144,44,44,True,False,0.00017611172048492452
0,random,64,-560.0,144,44,44,True,False,0.00017611172048492452
0,random,65,-570.0,145,44,44,True,False,0.00018002476206580262
0,random,66,-570.0,145,44,44,True,False,0.00018002476206580262
0,random,67,-560.0,144,44,44,True,False,0.00017998398922145756
