episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
0,initial,2,20.0,False,False,0.0,0,0
0,greedy,5,50.0,True,True,2.028862142934317e-05,3,3
0,random,5,50.0,True,True,2.028862142934317e-05,248,215
0,learned,5,50.0,True,True,2.0288621429343157e-05,453,21
0,optimal,5,50.0,True,True,2.0288621429343188e-05,0,0
1,initial,9,10.0,True,False,3.92506271745729e-05,0,0
1,greedy,5,50.0,True,True,4.569103139802053e-06,4,4
1,random,5,50.0,True,True,2.723107169413094e-05,258,146
1,learned,5,50.0,True,True,9.963087073154412e-07,438,8
1,optimal,5,50.0,True,True,2.723107169413094e-05,0,0
2,initial,3,30.0,False,False,0.0,0,0
2,greedy,5,50.0,True,True,2.8943865401185063e-06,2,2
2,random,5,50.0,True,True,2.8943865401185237e-06,243,22
2,learned,5,50.0,True,True,1.1676894984796177e-05,405,30
2,optimal,5,50.0,True,True,5.7827004736696496e-05,0,0
3,initial,12,-20.0,True,False,8.785549468996304e-05,0,0
3,greedy,5,50.0,True,True,4.367005139046474e-05,7,7
3,random,5,50.0,True,True,2.275881984224322e-06,267,42
3,learned,5,50.0,True,True,2.275881984224316e-06,401,22
3,optimal,5,50.0,True,True,4.3670051390464774e-05,0,0
4,initial,4,40.0,False,False,0.0,0,0
4,greedy,5,50.0,True,True,1.812293699152032e-05,1,1
4,random,5,50.0,True,True,1.8122936991520306e-05,277,4
4,learned,5,50.0,True,True,8.66544946162916e-06,447,10
4,optimal,5,50.0,True,True,2.5766454347575646e-05,0,0
5,initial,10,0.0,True,False,0.00014738846715795658,0,0
5,greedy,5,50.0,True,True,2.2368659967686926e-06,5,5
5,random,5,50.0,True,True,1.6168311085936933e-05,280,63
5,learned,5,50.0,True,True,2.236865996768736e-06,400,55
5,optimal,5,50.0,True,True,5.566005762433078e-05,0,0
6,initial,2,20.0,False,False,0.0,0,0
6,greedy,5,50.0,True,True,2.468674347250306e-07,3,3
6,random,5,50.0,True,True,2.6366666310640883e-07,270,30
6,learned,5,50.0,True,True,2.636666631064078e-07,404,85
6,optimal,5,50.0,True,True,2.197883857539097e-05,0,0
7,initial,6,40.0,True,False,0.00011106054041068073,0,0
7,greedy,5,50.0,True,True,9.037096090400422e-05,1,1
7,random,5,50.0,True,True,1.0470666711305111e-07,283,55
7,learned,5,50.0,True,True,9.037096090400422e-05,388,2
7,optimal,5,50.0,True,True,9.137773828991785e-05,0,0
8,initial,12,-20.0,True,False,4.021815318077413e-05,0,0
8,greedy,5,50.0,True,True,1.7771224692757818e-05,7,7
8,random,5,50.0,True,True,1.7771224692757804e-05,256,317
8,learned,5,50.0,True,True,1.7771224692757818e-05,436,65
8,optimal,5,50.0,True,True,1.7771224692757886e-05,0,0
9,initial,12,-20.0,True,False,6.739530204933407e-05,0,0
9,greedy,5,50.0,True,True,5.568919287416444e-07,7,7
9,random,5,50.0,True,True,1.877880361919574e-05,263,38
9,learned,5,50.0,True,True,5.568919287415807e-07,464,22
9,optimal,5,50.0,True,True,2.362206292649052e-05,0,0
10,initial,3,30.0,False,False,0.0,0,0
10,greedy,5,50.0,True,True,3.320057284670227e-05,2,2
10,random,5,50.0,True,True,3.320057284670229e-05,269,152
10,learned,5,50.0,True,True,9.990510724524113e-06,434,10
10,optimal,5,50.0,True,True,3.320057284670229e-05,0,0
11,initial,11,-10.0,True,False,3.0131004309692828e-05,0,0
11,greedy,5,50.0,True,True,1.1911873847007773e-05,6,6
11,random,5,50.0,True,True,1.1911873847007773e-05,261,115
11,learned,5,50.0,True,True,1.1911873847007741e-05,425,61
11,optimal,5,50.0,True,True,1.6193302443724784e-05,0,0
12,initial,8,20.0,True,False,0.00016630681510468673,0,0
12,greedy,5,50.0,True,True,1.3619238867510191e-05,3,3
12,random,5,50.0,True,True,5.5464827683119704e-05,264,56
12,learned,5,50.0,True,True,2.054482909537221e-05,387,6
12,optimal,5,50.0,True,True,5.5464827683119704e-05,0,0
13,initial,0,0.0,False,False,0.0,0,0
13,greedy,5,50.0,True,True,5.138412933842604e-09,5,5
13,random,5,50.0,True,True,5.37865694174809e-09,272,14
13,learned,5,50.0,True,True,3.5766272715657765e-10,427,95
13,optimal,5,50.0,True,True,1.96493642960693e-05,0,0
14,initial,1,10.0,False,False,0.0,0,0
14,greedy,5,50.0,True,True,2.0371210893449346e-05,4,4
14,random,5,50.0,True,True,2.0371210893449346e-05,263,83
14,learned,5,50.0,True,True,2.9323318917354205e-05,414,92
14,optimal,5,50.0,True,True,5.1070655442429346e-05,0,0
15,initial,1,10.0,False,False,0.0,0,0
15,greedy,5,50.0,True,True,2.3859865337505016e-07,4,4
15,random,5,50.0,True,True,3.8084142371083907e-06,280,141
15,learned,5,50.0,True,True,3.8083233473739978e-06,390,261
15,optimal,5,50.0,True,True,3.808414237108395e-06,0,0
16,initial,12,-20.0,True,False,0.0002239493037571682,0,0
16,greedy,5,50.0,True,True,8.883856865243577e-06,7,7
16,random,5,50.0,True,True,8.883856865243577e-06,274,86
16,learned,5,50.0,True,True,1.1812466538696637e-05,400,14
16,optimal,5,50.0,True,True,0.00011131866238315857,0,0
17,initial,12,-20.0,True,False,0.00011844812692060394,0,0
17,greedy,5,50.0,True,True,4.182043015968561e-06,7,7
17,random,5,50.0,True,True,2.095483602384478e-05,252,226
17,learned,5,50.0,True,True,5.075989913526632e-07,433,265
17,optimal,5,50.0,True,True,3.294602796739239e-05,0,0
18,initial,2,20.0,False,False,0.0,0,0
18,greedy,5,50.0,True,True,2.682113244794646e-06,3,3
18,random,5,50.0,True,True,1.966959181225398e-06,249,21
18,learned,5,50.0,True,True,1.5927261848567543e-05,398,368
18,optimal,5,50.0,True,True,4.932600558046083e-05,0,0
19,initial,5,30.0,False,False,0.0,0,0
19,greedy,5,50.0,True,True,6.418406198151241e-06,2,2
19,random,5,50.0,True,True,5.2582444816959436e-05,270,166
19,learned,5,50.0,True,True,4.0064267390639373e-07,401,48
19,optimal,5,50.0,True,True,5.474462714626471e-05,0,0
