episode,method,step,score,edges,rank,rank_K,is_IBR,is_MBR,min_eig
0,initial,0,30.0,37,20,20,True,False,0.00013766969898312497
0,greedy,0,30.0,37,20,20,True,False,0.00013766969898312497
0,greedy,1,40.0,36,20,20,True,False,0.00013279942531066962
0,greedy,2,50.0,35,20,20,True,False,0.00011333867908623395
0,greedy,3,60.0,34,20,20,True,False,0.00010028341980164352
0,greedy,4,70.0,33,20,20,True,False,8.594916694522305e-05
0,greedy,5,80.0,32,20,20,True,False,3.923008845500206e-05
0,greedy,6,90.0,31,20,20,True,False,3.8943216729295456e-05
0,greedy,7,100.0,30,20,20,True,False,3.7862072519714244e-05
0,greedy,8,110.0,29,20,20,True,False,3.7749313965775105e-05
0,greedy,9,120.0,28,20,20,True,False,3.763701868368861e-05
0,greedy,10,130.0,27,20,20,True,False,3.749385202276125e-05
0,greedy,11,140.0,26,20,20,True,False,1.3006421204606108e-05
0,greedy,12,150.0,25,20,20,True,False,1.2937240411632127e-05
0,greedy,13,160.0,24,20,20,True,False,1.0956704867236178e-05
0,greedy,14,170.0,23,20,20,True,False,1.066985680966054e-05
0,greedy,15,180.0,22,20,20,True,False,1.0668420669841255e-05
0,greedy,16,190.0,21,20,20,True,False,1.0514000129742855e-05
0,greedy,17,200.0,20,20,20,True,False,1.0445784477030345e-05
0,greedy,18,210.0,19,20,20,True,False,7.773994053903861e-06
0,greedy,19,220.0,18,20,20,True,False,7.457323855406287e-06
0,greedy,20,230.0,17,20,20,True,False,6.432660579418452e-06
0,greedy,21,240.0,16,20,20,True,False,6.238046718665635e-06
0,greedy,22,250.0,15,20,20,True,False,6.160523246843549e-06
0,greedy,23,260.0,14,20,20,True,False,5.830873422634567e-06
0,greedy,24,270.0,13,20,20,True,False,2.0458135945516636e-06
0,greedy,25,280.0,12,20,20,True,False,1.8936417037704348e-06
0,greedy,26,290.0,11,20,20,True,False,1.795158140714493e-06
0,greedy,27,300.0,10,20,20,True,True,3.654257543039137e-09
0,random,0,30.0,37,20,20,True,False,0.00013766969898312497
0,random,1,30.0,37,20,20,True,False,0.00013766969898312497
0,random,2,40.0,36,20,20,True,False,0.00013086401844360798
0,random,3,50.0,35,20,20,True,False,0.0001279782026249015
0,random,4,50.0,35,20,20,True,False,0.0001279782026249015
0,random,5,50.0,35,20,20,True,False,0.0001279782026249015
0,random,6,50.0,35,20,20,True,False,0.0001279782026249015
0,random,7,50.0,35,20,20,True,False,0.0001279782026249015
0,random,8,40.0,36,20,20,True,False,0.00013086401844360798
0,random,9,40.0,36,20,20,True,False,0.00013086401844360798
0,random,10,40.0,36,20,20,True,False,0.00013086401844360798
0,random,11,50.0,35,20,20,True,False,0.00012986396944204308
0,random,12,50.0,35,20,20,True,False,0.00012986396944204308
0,random,13,50.0,35,20,20,True,False,0.00012986396944204308
0,random,14,60.0,34,20,20,True,False,0.00011351115516628273
0,random,15,70.0,33,20,20,True,False,0.00011288601179143534
0,random,16,70.0,33,20,20,True,False,0.00011288601179143534
0,random,17,70.0,33,20,20,True,False,0.00011288601179143534
0,random,18,70.0,33,20,20,True,False,0.00011288601179143534
0,random,19,70.0,33,20,20,True,False,0.00011288601179143534
0,random,20,70.0,33,20,20,True,False,0.00011288601179143534
0,random,21,60.0,34,20,20,True,False,0.0001144157653786865
0,random,22,70.0,33,20,20,True,False,0.00011209654077094933
0,random,23,80.0,32,20,20,True,False,0.0001086543405653317
0,random,24,70.0,33,20,20,True,False,0.00011152854729672822
0,random,25,70.0,33,20,20,True,False,0.00011152854729672822
0,random,26,70.0,33,20,20,True,False,0.00011152854729672822
0,random,27,80.0,32,20,20,True,False,0.00010384710817464202
0,random,28,80.0,32,20,20,True,False,0.00010384710817464202
0,random,29,90.0,31,20,20,True,False,0.00010180882020987697
0,random,30,90.0,31,20,20,True,False,0.00010180882020987697
0,random,31,100.0,30,20,20,True,False,9.970935070871312e-05
0,random,32,90.0,31,20,20,True,False,0.00010139207998163173
0,random,33,90.0,31,20,20,True,False,0.00010139207998163173
0,random,34,100.0,30,20,20,True,False,0.0001012962422920405
0,random,35,100.0,30,20,20,True,False,0.0001012962422920405
0,random,36,100.0,30,20,20,True,False,0.0001012962422920405
0,random,37,100.0,30,20,20,True,False,0.0001012962422920405
0,random,38,100.0,30,20,20,True,False,0.0001012962422920405
0,random,39,100.0,30,20,20,True,False,0.0001012962422920405
0,random,40,90.0,31,20,20,True,False,0.00010566045161749855
0,random,41,80.0,32,20,20,True,False,0.00010962795563873225
0,random,42,80.0,32,20,20,True,False,0.00010962795563873225
0,random,43,80.0,32,20,20,True,False,0.00010962795563873225
0,random,44,80.0,32,20,20,True,False,0.00010962795563873225
0,random,45,80.0,32,20,20,True,False,0.00010962795563873225
0,random,46,90.0,31,20,20,True,False,0.00010894125406146113
0,random,47,100.0,30,20,20,True,False,0.00010751552719366625
0,random,48,100.0,30,20,20,True,False,0.00010751552719366625
0,random,49,90.0,31,20,20,True,False,0.00010801109346268982
0,random,50,100.0,30,20,20,True,False,0.00010670931566200402
0,random,51,100.0,30,20,20,True,False,0.00010670931566200402
0,random,52,100.0,30,20,20,True,False,0.00010670931566200402
0,random,53,100.0,30,20,20,True,False,0.00010670931566200402
0,random,54,100.0,30,20,20,True,False,0.00010670931566200402
0,random,55,110.0,29,20,20,True,False,9.496157264953894e-05
0,random,56,120.0,28,20,20,True,False,8.90621540542464e-05
0,random,57,120.0,28,20,20,True,False,8.90621540542464e-05
0,random,58,130.0,27,20,20,True,False,8.371196193834645e-05
0,random,59,140.0,26,20,20,True,False,8.334679384783556e-05
0,random,60,140.0,26,20,20,True,False,8.334679384783556e-05
0,random,61,140.0,26,20,20,True,False,8.334679384783556e-05
0,random,62,140.0,26,20,20,True,False,8.334679384783556e-05
0,random,63,140.0,26,20,20,True,False,8.334679384783556e-05
0,random,64,140.0,26,20,20,True,False,8.334679384783556e-05
0,random,65,150.0,25,20,20,True,False,6.745108617826812e-05
0,random,66,140.0,26,20,20,True,False,7.318510556882466e-05
0,random,67,150.0,25,20,20,True,False,7.271866189400666e-05
0,random,68,150.0,25,20,20,True,False,7.271866189400666e-05
0,random,69,150.0,25,20,20,True,False,7.271866189400666e-05
0,random,70,150.0,25,20,20,True,False,7.271866189400666e-05
0,random,71,140.0,26,20,20,True,False,9.051642498379461e-05
0,random,72,130.0,27,20,20,True,False,9.098167103491144e-05
0,random,73,130.0,27,20,20,True,False,9.098167103491144e-05
0,random,74,120.0,28,20,20,True,False,9.542992561466136e-05
0,random,75,120.0,28,20,20,True,False,9.542992561466136e-05
0,random,76,130.0,27,20,20,True,False,9.229794475093333e-05
0,random,77,130.0,27,20,20,True,False,9.229794475093333e-05
0,random,78,130.0,27,20,20,True,False,9.229794475093333e-05
0,random,79,140.0,26,20,20,True,False,9.024040800776443e-05
0,random,80,130.0,27,20,20,True,False,9.05834933622312e-05
0,random,81,140.0,26,20,20,True,False,8.688980416802479e-05
0,random,82,150.0,25,20,20,True,False,8.268775582251997e-05
0,random,83,140.0,26,20,20,True,False,8.431735792380603e-05
0,random,84,130.0,27,20,20,True,False,8.73857619767656e-05
0,random,85,130.0,27,20,20,True,False,8.73857619767656e-05
0,random,86,130.0,27,20,20,True,False,8.73857619767656e-05
0,random,87,140.0,26,20,20,True,False,5.1536432614363064e-05
0,random,88,130.0,27,20,20,True,False,5.1698182880599253e-05
0,random,89,140.0,26,20,20,True,False,5.079459568237612e-05
0,random,90,130.0,27,20,20,True,False,5.08131572030323e-05
0,random,91,130.0,27,20,20,True,False,5.08131572030323e-05
0,random,92,140.0,26,20,20,True,False,5.079459568237612e-05
0,random,93,130.0,27,20,20,True,False,5.1698182880599253e-05
0,random,94,120.0,28,20,20,True,False,5.1778580319827746e-05
0,random,95,130.0,27,20,20,True,False,5.1747918118268326e-05
0,random,96,140.0,26,20,20,True,False,4.88608587650451e-05
0,random,97,130.0,27,20,20,True,False,4.898099310745574e-05
0,random,98,120.0,28,20,20,True,False,5.0825488364784365e-05
0,random,99,120.0,28,20,20,True,False,5.0825488364784365e-05
0,random,100,130.0,27,20,20,True,False,5.074860431666712e-05
0,random,101,130.0,27,20,20,True,False,5.074860431666712e-05
0,random,102,140.0,26,20,20,True,False,5.071238694538368e-05
